TIMESTAMP_START,H_CORR,LE_CORR,H_F_MDS_QC,LE_F_MDS_QC,G_F_MDS,G_F_MDS_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,NETRAD,USTAR,RH,PPFD_IN,PPFD_OUT,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SWC,CO2_F_MDS,CO2_F_MDS_QC,SW_IN_POT,fPAR,Es,Delta,r,Density,L,ksi,Ra,Ga,Rs,Gs,VPD_leaf,lai
2012-10-25 21:00:00,-32.0461,,1,1,-21.4422,0.0,,,11.0893,1,3.772,0,0.0,0,0.0099,0,90.329,0,0.0,0,0.45899999999999996,2,-67.18,,0.9876799999999999,0.0,0.0,30.136999999999997,0,29.54300000000001,0,30.136999999999997,494.381,1,0.0,,0.7885099423566205,0.0556013819524558,0.0589728612691022,1.1326468004812862,,,211.3998091739843,0.0047303732387808,,,,1.7
2012-10-25 21:00:30,-31.4277,,1,1,-18.3277,0.0,,,10.0948,1,3.227,0,0.0,0,0.0048,0,90.316,0,0.0,0,0.5,2,-65.01,,,0.0,0.0,30.15,0,29.54300000000001,0,30.15,496.70300000000003,1,0.0,,0.7587147851240892,0.053743114672387,0.0589339575107267,,,,194.0650248217176,0.0051529120248157,,,,1.7
2012-10-25 22:00:00,-28.131,,1,1,-19.9622,0.0,,,8.79338,1,2.909,0,0.0,0,0.0049,0,90.303,0,0.0,0,0.139,0,-65.59,,,0.0,0.0,30.151999999999997,0,29.54300000000001,0,30.151999999999997,535.099,0,0.0,,0.7417927012167427,0.0526836625570039,0.058907744058717994,,,,698.0756288550991,0.0014325095428987,,,,1.7
2012-10-25 22:00:30,5.35968,14.6926,0,0,-20.2609,0.0,,,8.20232,1,2.681,0,0.0,0,0.0013,0,90.289,0,0.0,0,0.401,0,-64.83,0.034480000000000004,,0.0,0.0,30.154,0,29.537,0,30.154,523.165,0,0.0,,0.7298658352540308,0.0519351358083508,0.0588859074422696,,,,241.97634017670518,0.0041326354439022,,,,1.7
2012-10-25 23:00:00,-29.041999999999998,,1,1,-20.2741,0.0,,,8.46909,1,2.766,0,0.0,0,0.0,0,90.266,0,0.0,0,0.22699999999999998,0,-64.64,0.13792000000000001,,0.0,0.0,30.154,0,29.522,0,30.154,497.19,1,0.0,,0.7342923116843809,0.0522131172619339,0.0588756412591382,,,,427.45600180995064,0.0023394220592663,,,,1.7
2012-10-25 23:00:30,-28.7214,8.6091,1,0,-21.0932,0.0,,,8.57671,1,2.491,0,0.0,0,0.0,0,90.27600000000001,0,0.0,0,0.26899999999999996,0,-64.5,0.06376,,0.0,0.0,30.155,0,29.514,0,30.155,523.637,0,0.0,,0.7200564443698606,0.0513183563350363,0.0588668480212135,,,,360.7156595199212,0.0027722666693508,,,,1.7
2012-10-26 00:00:00,-28.3759,,1,1,-20.2278,0.0,,,8.584769999999999,1,2.267,0,0.0,0,0.0,0,90.27600000000001,0,0.0,0,0.188,0,-62.58,0.057170000000000006,,0.0,0.0,30.158,0,29.517,0,30.158,520.53,0,0.0,,0.7086413538710256,0.0505992940734834,0.0588543785755644,,,,516.1303851641426,0.0019374949213307,,,,
2012-10-26 00:00:30,9.5335,,0,1,-20.5333,0.0,,,6.84295,1,1.869,0,0.0,0,0.0,0,90.265,0,0.0,0,0.098,0,-61.32,0.11731,,0.0,0.0,30.160999999999998,0,29.523000000000003,0,30.160999999999998,527.89,0,0.0,,0.6887529056897728,0.0493430081991332,0.0588250674466088,,,,990.1276776618244,0.0010099707568638,,,,
2012-10-26 01:00:00,-27.1583,,1,1,-20.4318,0.0,0.012996,,6.6055,1,1.8119999999999998,0,0.0,0,0.0,0,90.255,0,0.0,0,0.107,0,-59.77,0.05086,,0.0,0.0,30.18,0,29.519000000000002,0,30.18,523.77,0,0.0,,0.6859453043600485,0.0491653004501505,0.0588153814550313,,,,906.8459103818577,0.0011027231733105,,,,
2012-10-26 01:00:30,-27.904,,1,1,-22.1968,0.0,,,6.84295,1,1.9269999999999998,0,0.0,0,0.0,0,90.235,0,0.0,0,0.1669999999999999,0,-56.6,0.0384,,0.0,0.0,30.186,0,29.521,0,30.186,498.876,1,0.0,,0.6916201773973049,0.0495243997918024,0.0588087409522138,,,,581.0330084482564,0.0017210726162884,,,,
