"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"468415","IT-Lav",45.9562,11.2813,"2008-03-15 12:00:00","ENF","Temperate",6.736,737.385,76.554,0.2307,1.066,396.774,0.3835,1.6234123,0,1,1,0,0.362657565775531
"843136","AU-Rig",-36.6499,145.5759,"2011-05-17 10:30:00","GRA","Temperate",14.61,506,64,0.5989,1.84,347.5,0.19,0.74504745,0,1,1,0,0.118124010883914
"932130","AU-DaS",-14.1593,131.3881,"2010-07-27 11:00:00","SAV","Tropical",28.92,568,48,2.0739,3.98,371.6,0.0289999999999999,0.81187725,0,1,1,0,0.121700702307917
"210095","US-Me5",44.4372,-121.5668,"2001-08-04 11:30:00","ENF","Temperate",17.14,854,56.54,0.854,2.35,362.42,0.0703599999999999,1.7266703,0,1,1,0,0.0527577044926413
"663247","CH-Fru",47.1158,8.5378,"2011-10-27 14:00:00","GRA","Arctic",10.581,318.4,64.062,0.4589,1.395,378.003,0.42598,1.8620431,0,1,1,0,0.268847672523857
"858950","AU-How",-12.4943,131.1523,"2010-04-14 11:30:00","WSA","Tropical",30.69,1004,62,1.6777,2.72,360.5,0.159,2.2715175,0,1,1,0,0.473026513136161
"263677","US-Goo",34.2547,-89.8735,"2005-11-23 13:00:00","GRA","Temperate",19.3,533,39.8,1.353,4.69,-9999,0.34,0.87116575,0,1,1,0,0.0443768629304258
"837020","AU-Stp",-17.1507,133.3502,"2013-04-18 14:00:00","GRA","Arid",35.6,885,19,4.7088,2.86,381.3,0.114,0.80634648,0,1,1,1,0.0562616197943851
"966107","AU-ASM",-22.283,133.249,"2011-01-18 12:30:00","SAV","Arid",34.47,1046,26,4.0414,4.26,352.7,0.052,0.5,0,1,1,0,0.0451947019053941
"940790","AU-DaS",-14.1593,131.3881,"2013-09-20 08:00:00","SAV","Tropical",26.24,279,72,0.9549,1.11,400.8,0.0289999999999999,1.2226969,0,1,1,0,0.096445094619471
"891626","AU-Gin",-31.3764,115.7138,"2014-11-19 12:30:00","WSA","Temperate",23.99,1095,45,1.6406,4.33,376.1,0.04,1.1811813,0,1,1,1,0.141736928901912
"632216","DE-Gri",50.95,13.5126,"2012-12-29 13:30:00","GRA","Continental",6.7,232.34,73.96,0.2556,4.03,400.08,0.4684,0.1,0,1,1,0,0.784517455919625
"458813","IT-MBo",46.0147,11.0458,"2012-05-08 11:30:00","GRA","Continental",8.919,753.14,78.878,0.2412,2.033,399.394,0.49229,0.92173982,0,1,1,0,0.357734290886874
"272924","US-GLE",41.3665,-106.2399,"2013-08-15 13:30:00","ENF","Continental",15.667,887.912,23.634,1.365,5.455,393.441,0.2511,0.89046443,0,1,1,1,0.187337137467464
"739570","CA-SF1",54.485,-105.8176,"2004-09-18 17:00:00","ENF","Continental",11.4,76,92.4,0.103,3.19,365.181,0.35,1.0652165,0,1,1,1,0.421130114777619
"887496","AU-Gin",-31.3764,115.7138,"2013-10-13 11:30:00","WSA","Temperate",19.64,1031,38,1.4181,3.97,381.2,0.06,1.0852798,0,1,1,1,0.149589977777672
"393297","IT-SRo",43.7279,10.2844,"2006-06-27 08:30:00","ENF","Temperate",24.88,624.8,91.1872,0.2773,0.704,408.595,0.07885,2.4133453,0,1,1,1,0.676890590306807
"876865","AU-GWW",-30.1913,120.6541,"2013-02-04 10:30:00","SAV","Arid",33.33,1004,17,4.254,4.41,379.9,0.296,0.39135706,0,1,1,1,0.0227923655004566
"591657","DE-Obe",50.7867,13.7213,"2009-09-04 10:30:00","ENF","Continental",13.1,305.947,79.1,0.3152,2.544,378.995,0.3398,2.2786469,0,1,1,1,0.233475754913189
"45439","US-Var",38.4133,-120.9508,"2001-05-16 16:00:00","GRA","Temperate",29.21,496.4,24.9,3.045,2.374,359.351,0.06741,1.7494059,0,1,1,0,0.0385585688429692
"940330","AU-DaS",-14.1593,131.3881,"2013-08-22 13:00:00","SAV","Tropical",31.44,726,36,2.9488,1.94,341.3,0.031,0.90145147,0,1,1,0,0.0568909805383153
"54065","US-Var",38.4133,-120.9508,"2007-05-12 14:00:00","GRA","Temperate",22.051,863.38,29.762,1.863,2.19,369.901,0.06346,1.9363832,0,1,1,0,0.0826817046315734
"436199","IT-Noe",40.6062,8.1517,"2011-12-25 10:30:00","CSH","Temperate",15.27,325.05,45.7,0.9425,1.071,398.063,0.37398,1.1555942,0,1,1,0,0.103372857865936
"530787","FI-Hyy",61.8474,24.2948,"2007-05-19 11:30:00","ENF","Continental",15.82,691.111,38.32,1.109,7.01,383.68,0.17381,1.8543383,0,1,1,0,0.167444414802223
"779476","BE-Vie",50.3049,5.9981,"2013-07-20 09:30:00","MF","Temperate",20.17,681,66.21,0.7987,2.019,398.097,0.331,4.6510043,0,1,1,1,0.357933659064222
"857337","AU-How",-12.4943,131.1523,"2008-08-31 09:30:00","WSA","Tropical",26.97,629,67,1.1748,2.13,372.5,0.0559999999999999,1.2148048,0,1,1,0,0.251397136752584
"515482","FR-LBr",44.7171,-0.7693,"2005-08-12 09:00:00","ENF","Temperate",21.56,510.45,77,0.5921,3.68,359.9,0.17905,1.934454,0,1,1,0,0.198592331684062
"322622","US-AR2",36.6358,-99.5975,"2010-04-12 16:00:00","GRA","Temperate",23.7,407.91,59.26,1.199,8.298,381.268,0.093,0.50994658,0,1,1,1,0.0360616942679218
"143769","US-SRG",31.7894,-110.8277,"2010-07-17 12:30:00","GRA","Arid",32.54,833.913,33.1,3.281,2.496,381.773,0.023,0.41298163,0,1,1,0,0.0076321058326696
"299506","US-Blo",38.8953,-120.6328,"2007-06-20 08:00:00","ENF","Temperate",19.767,669.24,34.225,1.577,2.991,380.022,0.12805,2.3776402,0,1,1,1,0.492825646199967
"736143","CA-SF2",54.2539,-105.8775,"2004-07-07 14:30:00","ENF","Continental",21.6,153.3,47.7,1.355,3.58,347.42,0.09,3.1023514,0,1,1,1,0.0813589534280574
"508735","IT-CA1",42.3804,12.0266,"2011-09-25 11:30:00","DBF","Temperate",25.82,623.9,52.54,1.5789,1.198,384.979,0.519,0.77623701,0,1,1,0,0.156979319883256
"427872","IT-Noe",40.6062,8.1517,"2005-03-19 10:30:00","CSH","Temperate",14.13,709.35,73.3,0.4306,2.228,381.734,0.32536,1.4867134,0,1,1,1,0.139255372654426
"240176","US-KS2",28.6086,-80.6715,"2005-02-12 12:30:00","CSH","Temperate",15.09,776,31.72,1.171,3.147,383.925,0.037,1.6114018,0,1,1,0,0.24013382748712
"717875","CA-TP1",42.6609,-80.5595,"2007-06-23 10:00:00","ENF","Continental",19.65,896.48,35.6,1.473,1.625,365.435,0.093,1.9631519,0,1,1,0,0.0378328639380187
"918703","AU-Dry",-15.2588,132.3706,"2013-04-14 09:00:00","SAV","Tropical",26.92,533,57,1.5263,0.87,420.6,0.06,1.5128617,0,1,1,1,0.408180991538612
"123036","US-SRM",31.8214,-110.8661,"2007-09-07 12:00:00","WSA","Arid",26.06,938,57.727,1.426,1.583,369.555,0.0387,0.67069483,0,1,1,1,0.0684899189451302
"462421","IT-Lav",45.9562,11.2813,"2005-05-07 11:30:00","ENF","Temperate",11.336,1005.07,38.511,0.8256,0.874,369.322,0.342,2.9526234,0,1,1,0,0.327978597968269
"974541","AU-Ade",-13.0769,131.1178,"2008-08-05 10:00:00","WSA","Tropical",26.99,638,47,1.889,1.04,342.3,0.12,0.69021356,0,1,1,0,0.198053677766899
"555443","ES-Amo",36.8336,-2.2523,"2008-02-03 11:30:00","OSH","Arid",16.088,559.39,63.7725,0.6626,1.515,396.761,0.15865,0.38200584,0,1,1,1,0.0080943477090829
"190110","US-NR1",40.0329,-105.5464,"2013-06-07 07:30:00","ENF","Continental",11.11,527.67,42.48,0.761,2.72,392.98,0.212,1.5107986,0,1,1,0,0.416271192376723
"509826","IT-CA1",42.3804,12.0266,"2012-06-26 08:00:00","DBF","Temperate",27.17,526.7,46.66,1.9213,1.416,372.527,0.274,0.82127351,0,1,1,1,0.10599007098977
"265349","US-Goo",34.2547,-89.8735,"2006-07-21 16:00:00","GRA","Temperate",35.9,481,46.8,3.159,3.1,-9999,0.24,3.6715724,0,1,1,0,0.0524857526564343
"426571","IT-Noe",40.6062,8.1517,"2004-08-06 16:30:00","CSH","Temperate",25.67,401.02,73.8,0.8639,1.766,372.986,0.15845,1.6674066,0,1,1,0,0.0357562710754308
"268866","US-GLE",41.3665,-106.2399,"2010-06-26 11:30:00","ENF","Continental",14.157,907.17,37.997,1.005,5.333,389.231,0.4084,0.71499401,0,1,1,1,0.229218589850331
"568660","DE-Tha",50.9626,13.5651,"2003-08-02 10:00:00","ENF","Continental",25.77,566.62,51.82,1.5981,1.92,358.5,0.061,3.9162209,0,1,1,0,0.169388724940751
"955752","AU-Cum",-33.6152,150.7236,"2014-12-27 08:00:00","EBF","Temperate",19.33,258,62,0.8526,1.49,396,0.166,1.9768941,0,1,1,0,0.534040964270819
"483886","IT-Cpz",41.7052,12.3761,"2002-05-02 08:30:00","EBF","Temperate",18.954,498.6,27.58,1.5872,3.655,378.08,0.137,3.5373628,0,1,1,0,0.201391808172261
"77692","US-Ton",38.4309,-120.966,"2004-07-19 15:30:00","WSA","Temperate",31.93,623.658,33.27,3.16,3.473,365.059,0.054,1.1999271,0,1,1,0,0.0221467526642957
"529671","FI-Hyy",61.8474,24.2948,"2006-07-17 16:00:00","ENF","Continental",23.99,285,30.87,2.0621,3.23,364.75,0.11788,4.6356912,0,1,1,1,0.0745607092362639
"445323","IT-MBo",46.0147,11.0458,"2004-07-04 13:00:00","GRA","Continental",15.14,588.66,76.559,0.4035,0.916,331.483,0.51711,3.9360497,0,1,1,1,0.110502452429881
"480993","IT-Cpz",41.7052,12.3761,"2001-02-06 13:00:00","EBF","Temperate",13.12,457.111,75.7,0.3669,3.369,387.559,0.2123,2.1453726,0,1,1,0,0.695475179204661
"255412","US-IB2",41.8406,-88.241,"2011-05-08 13:00:00","GRA","Continental",19.5,839,39.1,1.386,5.26,374.02,0.36,1.1765087,0,1,1,0,0.193502117006601
"90744","US-Ton",38.4309,-120.966,"2008-07-24 12:00:00","WSA","Temperate",29.82,983.697,25.86,3.113,2.476,370.046,0.062,1.0348219,0,1,1,0,0.0600269630454354
"138231","US-SRM",31.8214,-110.8661,"2014-05-21 08:00:00","WSA","Arid",22.37,509,11.579,2.391,3.294,399.592,0.0263,0.30190206,0,1,1,0,0.0246198828280359
"341167","RU-Ha1",54.7252,90.0022,"2003-06-12 17:00:00","GRA","Arid",29.8,475.28,30.22,2.9278,1.476,361.463,0.269,1.2787093,0,1,1,1,0.101154417753301
"452979","IT-MBo",46.0147,11.0458,"2008-09-20 09:00:00","GRA","Continental",7.88,584.55,62.795,0.396,0.366,382.346,0.41201,1.8995748,0,1,1,0,0.0540482744193242
"612644","DE-Kli",50.8931,13.5224,"2014-03-27 15:00:00","CRO","Continental",11.28,362.43,46.81,0.7115,4.21,395.55,0.3779,1.1492245,0,1,1,0,0.297593939839643
"813968","AU-Tum",-35.6566,148.1517,"2006-04-03 12:00:00","EBF","Temperate",9.95,594,50,0.6121,2.57,355.1,0.17,4.8294582,0,1,1,0,0.637703540781209
"548400","ES-LJu",36.9266,-2.7521,"2012-01-01 15:00:00","OSH","Arid",13.414,393.2,34.6572,1.0058,1.681,375.429,0.23279,0.29999998,0,1,1,0,0.0199435515545713
"720571","CA-TP1",42.6609,-80.5595,"2009-06-24 16:00:00","ENF","Continental",28.07,688.48,53.07,1.782,1.804,380.402,0.103,1.55625,0,1,1,0,0.0394483933856882
"509838","IT-CA1",42.3804,12.0266,"2012-06-26 15:00:00","DBF","Temperate",32.2,739,41.83,2.798,3.019,372.063,0.306,0.82127351,0,1,1,1,0.0458527617378068
"278094","US-Cop",38.09,-109.39,"2003-06-05 16:00:00","GRA","Arid",26.13,564.8,16.42,2.83,3.6,369.14,0.07484,0.29959863,0,1,1,1,0.015683569592893
"20063","US-Wkg",31.7365,-109.9419,"2012-09-13 09:00:00","GRA","Arid",22.6,627,53.517,1.275,2.117,387.655,0.18,0.61499411,0,1,1,1,0.102173681324564
"14888","US-Wkg",31.7365,-109.9419,"2010-03-22 11:00:00","GRA","Arid",18.32,853,8.666,1.923,2.407,387.006,0.15,0.2,0,1,1,0,0.0230577602414522
"9336","US-Wkg",31.7365,-109.9419,"2007-05-02 16:00:00","GRA","Arid",23.83,573.8,14.712,2.519,6.192,370.995,0.01,0.21439894,0,1,1,0,0.0164335586628276
"533739","FI-Hyy",61.8474,24.2948,"2009-09-27 10:00:00","ENF","Continental",13.4,214.67,78.5,0.3306,8.41,382.13,0.11795,1.5217561,0,1,1,0,0.212762166303319
"486286","IT-Cpz",41.7052,12.3761,"2003-05-07 15:00:00","EBF","Temperate",23.99,217.5,44.66,1.6508,0.787,375.442,0.1492,2.9126277,0,1,1,1,0.0811434378847343
"424892","IT-PT1",45.2009,9.061,"2004-10-11 12:00:00","DBF","Temperate",15.99,199.924,96.256,0.0681,3.589,430.802,0.19027,0.38874868,0,1,1,0,0.788239269966608
"733688","CA-SF2",54.2539,-105.8775,"2003-04-23 12:30:00","ENF","Continental",21.9,583.1,37.1,1.66,3.03,386.627,0.19,0.71678138,0,1,1,0,0.0762684804118063
"744432","CA-Qfo",49.6925,-74.3421,"2005-06-18 15:30:00","ENF","Continental",19.64,656,34.78,1.497,1.819,377.567,0.17,1.8234664,0,1,1,1,0.144342953838777
"496157","IT-Cp2",41.7043,12.3573,"2013-08-14 09:00:00","EBF","Temperate",27.1,570,76,0.8609,1.8,374.504,0.04607,3.1799533,0,1,1,0,0.201890319692082
"867065","AU-How",-12.4943,131.1523,"2012-07-19 15:00:00","WSA","Tropical",30.61,624,20,3.516,2.25,385.4,0.065,1.2590113,0,1,1,0,0.11781922026597
"116262","US-Syv",46.242,-89.3477,"2006-08-18 16:30:00","MF","Continental",22.375,199.296,71.902,0.763,2.786,364.356,0.193,4.7049675,0,1,1,1,0.0344681849394736
"783688","BE-Lon",50.5516,4.7462,"2008-08-06 14:00:00","CRO","Temperate",29.4,771.2,54.5,1.8656,2.117,373.209,0.33,1.5018753,0,1,1,1,0.456452549552
"548543","ES-LJu",36.9266,-2.7521,"2012-02-09 15:00:00","OSH","Arid",0.467,497.335,36.2815,0.4028,1.559,378.649,0.2225,0.30000001,0,1,1,0,0.0239146470814979
"551609","ES-LJu",36.9266,-2.7521,"2013-06-19 11:30:00","OSH","Arid",12.508,737.428,55.3522,0.6477,3.113,385.725,0.12734,0.68152201,0,1,1,1,0.0772774766185009
"626459","DE-Gri",50.95,13.5126,"2009-06-29 10:30:00","GRA","Continental",23.707,730.867,65.0667,1.0245,1.785,368.957,0.42627,5.7040153,0,1,1,1,0.222917203117242
"459694","IT-MBo",46.0147,11.0458,"2012-08-14 14:30:00","GRA","Continental",17.826,664.29,76.083,0.4884,1.983,382.03,0.4287,1.8754805,0,1,1,1,0.338166743284217
"739019","CA-SF1",54.485,-105.8176,"2004-06-24 10:00:00","ENF","Continental",15.2,565.7,48.1,0.9,5.13,373.283,0.37,1.7376037,0,1,1,0,0.208868736964433
"971261","AU-ASM",-22.283,133.249,"2014-03-14 12:30:00","SAV","Arid",33.41,1062,15,4.376,3.49,385.6,0.043,0.49999997,0,1,1,1,0.0783940615934124
"694802","CA-TP4",42.7102,-80.3574,"2010-10-08 10:00:00","ENF","Continental",14.97,640.2,79.4,0.351,4.671,387.941,0.091,2.1551521,0,1,1,0,1.60127404751582
"930333","AU-DaS",-14.1593,131.3881,"2010-03-26 16:30:00","SAV","Tropical",34.53,525,32,3.7261,3.14,347.3,0.038,1.6233118,0,1,1,0,0.146624385644104
"94062","US-Ton",38.4309,-120.966,"2009-08-13 13:00:00","WSA","Temperate",32.16,904.174,27.19,3.493,2.412,372.263,0.059,1.0883077,0,1,1,0,0.0373353707928486
"335128","SN-Dhr",15.4028,-15.4322,"2011-10-25 11:30:00","SAV","Arid",34.846,796.3,22.6406,4.3139,4.332,-9999,0.04125,0.66209185,0,1,1,1,0.0402387661608279
"96852","US-Ton",38.4309,-120.966,"2010-07-17 07:30:00","WSA","Temperate",22.42,549.105,47.44,1.425,2.685,366.912,0.08201,1.2135415,0,1,1,0,0.0670052270837575
"460065","IT-MBo",46.0147,11.0458,"2012-10-06 09:00:00","GRA","Continental",10.185,300.51,99.586,0.0050999999999999,0.399,385.224,0.47838,0.98541152,0,1,1,0,0.660920061187951
"229100","US-Me2",44.4523,-121.5574,"2013-09-16 14:00:00","ENF","Temperate",14.74,635.33,50.89,0.827,5.133,391.041,0.093,2.1995213,0,1,1,0,0.0358724830284769
"203979","US-MMS",39.3232,-86.4131,"2008-08-08 14:00:00","DBF","Continental",23.87,799.601,51.176,1.452,4.141,363.027,0.39915,5.3299928,0,1,1,1,0.72494372834418
"553781","ES-LgS",37.0979,-2.9658,"2007-05-19 08:30:00","OSH","Arid",13,577.2,33.54,0.9957,4.13,372.17,0.12377,1.4728801,0,1,1,1,0.154781757597995
"78876","US-Ton",38.4309,-120.966,"2005-04-25 10:00:00","WSA","Temperate",14.81,856.659,69.94,0.506,1.457,366.178,0.286,2.4729462,0,1,1,1,0.0908301784399694
"692297","CA-TP4",42.7102,-80.3574,"2009-08-25 15:00:00","ENF","Continental",23.27,610.2,77.7,0.637,3.826,368.936,0.115,4.7220354,0,1,1,1,0.691349804656183
"31505","US-Whs",31.7438,-110.0522,"2012-09-25 09:30:00","OSH","Arid",25.04,691,28.373,2.274,1.666,378.517,0.02,0.39999998,0,1,1,1,0.0287443422692701
"432728","IT-Noe",40.6062,8.1517,"2006-11-20 15:30:00","CSH","Temperate",17.93,208.99,73.1,0.5529,1.802,387.836,0.18429,1.329465,0,1,1,0,0.0812513050971155
"633095","DE-Gri",50.95,13.5126,"2013-07-20 10:00:00","GRA","Continental",20.13,514.47,71.7,0.6673,1.7,382.23,0.2601,6.5150962,0,1,1,1,0.616330892231618
"295077","US-Blo",38.8953,-120.6328,"2005-08-19 12:00:00","ENF","Temperate",22.873,928.46,32.759,1.938,2.333,371.238,0.10326,2.5086558,0,1,1,1,0.287773175061217
"938087","AU-DaS",-14.1593,131.3881,"2013-03-22 11:30:00","SAV","Tropical",32.38,1003,56,2.138,1.73,334.3,0.068,1.7239621,0,1,1,1,0.294180510070537
"145963","US-SRG",31.7894,-110.8277,"2011-09-04 14:30:00","GRA","Arid",35.41,389.653,18.715,4.678,0.578,381.148,0.0406,0.68077695,0,1,1,1,0.0051267075759642
"698352","CA-TP4",42.7102,-80.3574,"2013-07-02 09:30:00","ENF","Continental",18.68,537.6,77.7,0.481,2.235,379.743,0.106,4.7222099,0,1,1,1,0.464642467665379
"628070","DE-Gri",50.95,13.5126,"2010-07-02 12:30:00","GRA","Continental",29.55,754.323,29.24,2.9265,1.792,374.717,0.23693,6.5173821,0,1,1,1,0.301138870957484
"386708","IT-SRo",43.7279,10.2844,"2003-06-22 13:00:00","ENF","Temperate",28.3,870.476,74.44,0.9834,2.141,382.314,0.07245,2.6501117,0,1,1,0,0.120059493813001
"909086","AU-Dry",-15.2588,132.3706,"2009-11-20 17:30:00","SAV","Tropical",39.66,184,20,5.7958,1.95,371.6,0.03,1.0946534,0,1,1,0,0.0098310237694155
"212942","US-Me2",44.4523,-121.5574,"2002-05-24 16:00:00","ENF","Temperate",18,506.7,25.5,1.533,3.2,369.3,0.246,1.6508303,0,1,1,1,0.129374371632054
"717075","CA-TP1",42.6609,-80.5595,"2004-09-24 14:30:00","ENF","Continental",25.63,601.229,55.44,1.466,2.032,370.464,0.109,1.7095574,0,1,1,1,0.0464359093424978
"333760","US-AR1",36.4267,-99.42,"2012-10-09 09:30:00","GRA","Temperate",16.091,558.06,63.87,0.664,3.797,385.189,0.17445,0.52582747,0,1,1,1,0.0763947184425522
"35140","US-Whs",31.7438,-110.0522,"2014-12-06 10:30:00","OSH","Arid",14.98,328.1,47.928,0.887,2.271,382.621,0.06,0.2,0,1,1,0,0.0788251466093055
"496495","IT-Cp2",41.7043,12.3573,"2013-10-01 13:30:00","EBF","Temperate",24.3,595,66,1.0332,4.5,388.613,0.06253,3.3385005,0,1,1,1,0.0522479204160333
"424433","IT-PT1",45.2009,9.061,"2004-08-03 11:00:00","DBF","Temperate",29.93,796.444,68.7104,1.3227,1.116,347.268,0.17395,1.3505664,0,1,1,0,0.852986072675283
"620677","DE-Hai",51.0792,10.4522,"2008-05-29 13:30:00","DBF","Continental",22.55,740.55,64.79,0.9629,4.73,355.83,0.3157,5.0311537,0,1,1,0,0.44947185573296
"69955","US-Ton",38.4309,-120.966,"2001-08-05 06:30:00","WSA","Temperate",18.59,245.328,64.431,0.762,1.158,368.702,0.057,1.1826209,0,1,1,0,0.0407839367337333
"187045","US-NR1",40.0329,-105.5464,"2011-07-24 12:30:00","ENF","Continental",19.72,925.59,40.18,1.375,2.69,390.37,0.122,2.6410141,0,1,1,1,0.161096091351728
"218094","US-Me2",44.4523,-121.5574,"2005-06-28 15:30:00","ENF","Temperate",16.9,623.9,50.4,0.954,2.52,365.3,0.16,1.6399344,0,1,1,1,0.252853447078136
"570599","DE-Tha",50.9626,13.5651,"2004-08-23 08:00:00","ENF","Continental",15.71,440.35,52.03,0.8565,2.3,355.345,0.068,3.8330567,0,1,1,1,0.24663776813137
"62592","US-Var",38.4133,-120.9508,"2013-02-28 13:30:00","GRA","Temperate",19.542,676.79,35.716,1.461,1.363,399.795,0.19521,1.5730951,0,1,1,1,0.209461053582915
"341378","RU-Ha1",54.7252,90.0022,"2003-07-21 15:30:00","GRA","Arid",24.27,592.28,47.37,1.5965,3.322,358.492,0.305,1.4266635,0,1,1,1,0.192744743494822
"2527","ZM-Mon",-15.4391,23.2525,"2008-10-17 13:00:00","DBF","Tropical",33.337,788.76,28.4933,3.6663,2.035,384.474,0.0391,1.3917291,0,1,1,0,0.0157985862766734
"858307","AU-How",-12.4943,131.1523,"2008-11-05 15:00:00","WSA","Tropical",34.06,799,45,2.9361,2.45,368.9,0.057,1.7372792,0,1,1,0,0.105475664886082
"322740","US-AR2",36.6358,-99.5975,"2010-04-24 18:00:00","GRA","Temperate",14.59,49.919,67.97,0.534,9.137,381.951,0.11701,0.7324962,0,1,1,1,0.0680452043609175
"728932","CA-SF3",54.0916,-106.0053,"2003-05-16 09:00:00","OSH","Continental",12.3,234.3,75.5,0.352,3.59,363.4,0.22,0.39576781,0,1,1,0,0.0689550809254472
"25619","US-Whs",31.7438,-110.0522,"2008-09-22 13:30:00","OSH","Arid",31.08,738,19.008,3.656,2.769,371.939,0.03,0.49538052,0,1,1,1,0.0158756510509033
"18455","US-Wkg",31.7365,-109.9419,"2011-10-28 10:30:00","GRA","Arid",17.48,717.9,27.578,1.446,4.188,384.542,0.04,0.28607258,0,1,1,1,0.0140296790379049
"683928","CA-TP4",42.7102,-80.3574,"2004-08-31 16:00:00","ENF","Continental",21.07,450.898,80.3,0.492,3.139,356.847,0.1333,4.3685002,0,1,1,0,0.529601993604045
"70458","US-Ton",38.4309,-120.966,"2002-01-25 11:00:00","WSA","Temperate",9.33,254.672,54.82,0.53,1.751,378.747,0.27201,0.65312219,0,1,1,0,0.214247344808361
"862620","AU-How",-12.4943,131.1523,"2011-05-24 15:00:00","WSA","Tropical",31.06,623,28,3.2466,2.95,354.8,0.071,1.3971921,0,1,1,0,0.0578226274211573
"575056","DE-Tha",50.9626,13.5651,"2007-05-22 07:00:00","ENF","Continental",20.217,359.028,72.5081,0.6517,2.615,403.302,0.094,3.6345448,0,1,1,0,0.18959476534818
"200784","US-MMS",39.3232,-86.4131,"2003-06-28 11:00:00","DBF","Continental",24.48,884.9,54.24,1.411,3.99,385.21,0.34,4.5339017,0,1,1,1,0.731811179204527
"332932","US-AR1",36.4267,-99.42,"2012-03-16 14:30:00","GRA","Temperate",26.21,705.5,62.35,1.287,7.701,374.358,0.18325,0.49786666,0,1,1,1,0.125493469437522
"37282","US-WCr",45.8059,-90.0799,"2004-08-06 10:30:00","DBF","Continental",21.558,854.391,58.578,1.071,1.804,362.867,0.27592,5.0051804,0,1,1,1,0.753486531635508
"184254","US-NR1",40.0329,-105.5464,"2009-08-20 08:30:00","ENF","Continental",9.88,662.97,66.54,0.408,2.62,381.165,0.053,2.5942678,0,1,1,1,0.336339076146535
"296824","US-Blo",38.8953,-120.6328,"2006-08-15 11:30:00","ENF","Temperate",22.264,923,36.787,1.757,1.495,369.35,0.09313,2.639518,0,1,1,1,0.23158863265647
"21956","US-Wkg",31.7365,-109.9419,"2013-09-01 14:00:00","GRA","Arid",29.3,215.7,32.529,2.751,1.332,390.419,0.15,0.49098209,0,1,1,1,0.0603063932274556
"468495","IT-Lav",45.9562,11.2813,"2008-03-26 07:30:00","ENF","Temperate",-2.53,289.971,41.829,0.2951,0.862,392.308,0.349,1.497718,0,1,1,0,0.677478544642569
"716954","CA-TP1",42.6609,-80.5595,"2004-09-15 09:30:00","ENF","Continental",22.22,608.977,71.9,0.753,4.004,373.455,0.11701,2.0407667,0,1,1,1,0.0833644599631273
"569841","DE-Tha",50.9626,13.5651,"2004-05-09 14:00:00","ENF","Continental",9.54,272.89,64.99,0.417,2.77,374.456,0.172,3.003726,0,1,1,0,0.422376136816128
"62849","US-Var",38.4133,-120.9508,"2013-03-22 13:30:00","GRA","Temperate",17.064,811.31,24.572,1.467,3.868,393.418,0.09679,1.9639676,0,1,1,1,0.365802732451073
"26907","US-Whs",31.7438,-110.0522,"2009-09-16 11:30:00","OSH","Arid",27.75,934,25.251,2.785,2.795,378.722,0.06,0.31221005,0,1,1,1,0.0207076021231128
"184866","US-NR1",40.0329,-105.5464,"2010-06-03 11:00:00","ENF","Continental",10.65,317.01,53.11,0.602,3.91,391.25,0.291,1.3607279,0,1,1,1,0.535332815490377
"662505","CH-Fru",47.1158,8.5378,"2011-07-05 09:30:00","GRA","Arctic",19.346,756.46,53.833,1.0369,1.051,364.581,0.35617,3.6846364,0,1,1,0,0.234561503362959
"519344","FR-LBr",44.7171,-0.7693,"2007-06-12 11:30:00","ENF","Temperate",22.45,908.45,54.6,1.234,2.172,361.804,0.54898,3.8247061,0,1,1,1,0.545787641788052
"263784","US-Goo",34.2547,-89.8735,"2006-03-04 14:30:00","GRA","Temperate",16.8,571,25.3,1.435,3.08,-9999,0.43,0.89669031,0,1,1,0,0.0728337653980456
"431599","IT-Noe",40.6062,8.1517,"2006-05-02 16:00:00","CSH","Temperate",23.37,503.29,46.6,1.5346,1.905,370.509,0.19855,1.8244221,0,1,1,1,0.0782610792313094
"297601","US-Blo",38.8953,-120.6328,"2006-10-15 10:30:00","ENF","Temperate",13.99,643.916,70.305,0.606,1.1,372.46,0.10747,2.9232001,0,1,1,0,0.141231581841855
"318602","US-ARb",35.5497,-98.0402,"2005-09-05 14:00:00","GRA","Temperate",31.48,801,28.61,3.311,3.878,343.067,0.20945,1.426062,0,1,1,0,0.20537160024947
"569106","DE-Tha",50.9626,13.5651,"2003-09-27 08:00:00","ENF","Continental",11.84,240.09,68.31,0.4399,3.18,384.1,0.047,2.532232,0,1,1,0,0.120687291208007
"673106","CH-Dav",46.8153,9.8559,"2011-08-28 15:00:00","ENF","Arctic",15.7,578.247,36.5333,1.1324,4.365,368.887,0.30313,2.0630996,0,1,1,1,0.310427770562677
"822420","AU-Tum",-35.6566,148.1517,"2010-12-22 16:00:00","EBF","Temperate",16.27,580,51,0.9067,2.19,369.3,0.3,5.2398157,0,1,1,0,0.539192582963753
"620795","DE-Hai",51.0792,10.4522,"2008-06-11 08:30:00","DBF","Continental",14.63,368.52,63.26,0.612,2.08,376.16,0.2622,4.3927832,0,1,1,1,0.479884214992111
