"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"168881","US-Oho",41.5545,-83.8438,"2004-10-11 12:30:00","DBF","Continental",12.485,473.804,69.349,0.444,1.991,346.378,0.16907,2.7226515,0,1,1,0,0.288925257300022
"707757","CA-TP3",42.7068,-80.3483,"2010-08-30 13:00:00","ENF","Continental",28.98,877.76,70.47,1.182,2.29,411.654,0.067,4.5597854,0,1,1,1,0.170569130576019
"368543","NL-Loo",52.1666,5.7436,"2012-05-22 12:30:00","ENF","Temperate",26.33,872,49.34,1.7369,2.4,389.31,0.081,2.3850217,0,1,1,0,0.24082970164764
"187852","US-NR1",40.0329,-105.5464,"2011-10-24 13:30:00","ENF","Continental",10.37,611.15,18.08,1.031,9.31,389.41,0.054,1.3693416,0,1,1,0,0.083065447273144
"549354","ES-LJu",36.9266,-2.7521,"2012-05-23 10:30:00","OSH","Arid",16.869,788.85,32.9951,1.288,0.846,382.157,0.1282,0.55954778,0,1,1,1,0.0098349001904164
"824052","AU-Tum",-35.6566,148.1517,"2012-03-07 07:00:00","EBF","Temperate",7.33,244,70,0.3075,5.37,369,0.24,4.1209106,0,1,1,0,0.340783001170874
"949466","AU-DaP",-14.0633,131.3181,"2011-02-03 11:00:00","GRA","Tropical",31.56,865,60,1.8556,1.44,373.2,0.15,1.22171,0,1,1,1,0.250276481580777
"402573","IT-Ro2",42.3903,11.9209,"2004-07-07 15:30:00","DBF","Temperate",27.889,616.8,32.5104,1.7597,2.599,369.981,0.273,1.9487221,0,1,1,1,0.583673638370705
"428057","IT-Noe",40.6062,8.1517,"2005-04-12 12:00:00","CSH","Temperate",15.77,895.93,74.3,0.4606,2.152,381.995,0.36508,1.629292,0,1,1,1,0.200291928919074
"810693","AU-Tum",-35.6566,148.1517,"2003-12-07 16:00:00","EBF","Temperate",18.04,381,58,0.8693,2.49,347.8,0.22,4.0151477,0,1,1,0,0.354021197704368
"405656","IT-Ro2",42.3903,11.9209,"2006-06-13 08:30:00","DBF","Temperate",22.12,743,49.16,1.3544,0.853,370.769,0.195,2.4369004,0,1,1,1,0.467773169341998
"376070","IT-Tor",45.8444,7.5781,"2008-10-25 10:30:00","GRA","Continental",7.939,360.856,61.4189,0.4123,2.112,380.784,0.13266,0.70000005,0,1,1,0,0.22465620683604
"694265","CA-TP4",42.7102,-80.3574,"2010-08-11 13:00:00","ENF","Continental",27.4,850,83,0.621,2.163,390.028,0.066,5.086339,0,1,1,1,0.505995429412645
"495243","IT-Cpz",41.7052,12.3761,"2008-09-29 14:30:00","EBF","Temperate",21.15,499.3,51.46,1.2187,2.949,363.655,0.1249,3.6148484,0,1,1,0,0.0426834328498241
"774365","BE-Vie",50.3049,5.9981,"2009-10-31 14:00:00","MF","Temperate",11.04,303,66.746,0.4378,2.379,404.167,0.317,1.2280544,0,1,1,0,0.322848391826056
"818811","AU-Tum",-35.6566,148.1517,"2008-10-30 12:00:00","EBF","Temperate",15.39,310,74,0.4548,3.87,323.8,0.22,4.1531277,0,1,1,1,0.491292220968643
"410512","IT-Ro2",42.3903,11.9209,"2011-07-21 07:30:00","DBF","Temperate",21.74,454.32,61.05,1.0139,0.596,399.9,0.144,2.7224774,0,1,1,1,0.374159627924377
"773714","BE-Vie",50.3049,5.9981,"2008-07-23 14:00:00","MF","Temperate",17.13,241,76.685,0.4556,1.318,379.852,0.371,4.1526823,0,1,1,1,0.411875261285677
"615403","DE-Hai",51.0792,10.4522,"2003-05-05 10:30:00","DBF","Continental",24.84,758.79,40.29,1.874,2.16,364.85,0.2921,3.3924074,0,1,1,1,0.183841497467326
"450838","IT-MBo",46.0147,11.0458,"2007-07-06 09:30:00","GRA","Continental",13.33,919.25,49.586,0.7718,0.667,385.205,0.56007,3.6235342,0,1,1,0,0.17980970402307
"38498","US-WCr",45.8059,-90.0799,"2005-08-22 13:30:00","DBF","Continental",18.101,743.905,70.635,0.613,2.576,360.699,0.15545,4.8693404,0,1,1,1,0.614828599129242
"311234","US-ARM",36.6058,-97.4888,"2011-03-16 09:00:00","CRO","Temperate",11.4,491.5,66.59,0.453,4.655,403.854,0.18495,0.87935108,0,1,1,1,0.408723847165425
"389617","IT-SRo",43.7279,10.2844,"2004-06-08 06:30:00","ENF","Temperate",20.91,294.8,89.1904,0.2674,1.498,441.275,0.1879,2.8697035,0,1,1,1,0.464392611099092
"544196","ES-LJu",36.9266,-2.7521,"2010-07-07 11:00:00","OSH","Arid",23.352,826.415,28.927,2.0401,2.144,380.834,0.12013,0.5,0,1,1,0,0.0348620500175436
"616457","DE-Hai",51.0792,10.4522,"2004-04-25 15:30:00","DBF","Continental",13.58,429.38,49.29,0.7891,2.92,372.19,0.36,1.3361971,0,1,1,0,0.199090221241434
"948653","AU-DaP",-14.0633,131.3181,"2010-05-13 11:30:00","GRA","Tropical",30.28,810,38,2.6739,5.29,378.5,0.096,1.5455316,0,1,1,0,0.0454958974037885
"328058","US-AR1",36.4267,-99.42,"2009-09-30 09:30:00","GRA","Temperate",21.22,556.7,81.8,0.461,7.158,355.864,0.1918,0.74034125,0,1,1,0,0.0257806825595531
"804344","AU-Wac",-37.4259,145.1878,"2005-10-04 11:30:00","EBF","Temperate",12.11,725,57,0.6077,2.12,360.5,0.375,3.2152474,0,1,1,1,0.780785434515213
"267362","US-GLE",41.3665,-106.2399,"2005-10-07 12:30:00","ENF","Continental",7.67,751.8,38.84,0.644,6.22,377.641,0.095,0.62133557,0,1,1,0,0.151947590455637
"537102","ES-LJu",36.9266,-2.7521,"2007-06-20 16:30:00","OSH","Arid",21.653,696.8,17.5195,2.1357,2.493,357.449,0.15583,0.59999996,0,1,1,1,0.0429071038364504
"161879","US-SRC",31.9083,-110.8395,"2012-02-24 09:00:00","OSH","Arid",16.3,450,31.104,1.277,0.752,389,0.0891,0.28879911,0,1,1,1,0.113646015495483
"382499","IT-Tor",45.8444,7.5781,"2013-07-15 12:30:00","GRA","Continental",17.27,991,49.6,0.9937,2.767,371.405,0.26169,2.5916286,0,1,1,1,0.595970347515403
"293726","US-Blo",38.8953,-120.6328,"2005-04-15 10:30:00","ENF","Temperate",14.776,820.248,26.888,1.281,2.023,373.254,0.2894,1.6276867,0,1,1,0,0.256838483712963
"745990","CA-Qfo",49.6925,-74.3421,"2006-05-28 09:30:00","ENF","Continental",15.11,364,48.67,0.885,1.981,379.904,0.134,1.3541262,0,1,1,0,0.402945499804082
"166322","US-Prr",65.1237,-147.4876,"2012-05-13 17:00:00","ENF","Continental",10.517,205.168,27.3,0.924,4.189,397.108,0.22097,1.1686251,0,1,1,0,0.0335805149830559
"542273","ES-LJu",36.9266,-2.7521,"2009-11-11 13:00:00","OSH","Arid",15.966,640.531,23.0002,1.3974,1.511,364.702,0.18877,0.4609485,0,1,1,1,0.0509205796559358
