,Unnamed: 0,Site,Lat,Lon,Datetime,PFT,Climate,Tair,SW,RH,VPD,WS,Ca,SWC,LAI,flag_rain,flag_daytime,flag_GS,flag_peak,Gs
2198,147739,US-SRG,31.7894,-110.8277,2012-04-16 09:00:00,GRA,Arid,15.84,732.174,31.296,1.236,3.543,390.093,0.1144,0.30544889,0,1,1,0,0.0734917170284394
4232,141850,US-SRG,31.7894,-110.8277,2009-07-28 10:30:00,GRA,Arid,33.61,921.739,25.639,3.873,3.361,374.164,0.0424,0.64731896,0,1,1,1,0.0199367131525703
774,674808,CH-Cha,47.2102,8.4104,2007-04-20 15:30:00,GRA,Continental,21.797,556.75,37.173,1.6411,2.567,360.884,0.36822,6.3211536,0,1,1,1,0.324284079072772
329,376278,IT-Tor,45.8444,7.5781,2009-07-11 14:00:00,GRA,Continental,14.898,916.528,35.5273,1.0926,1.881,375.982,0.10698,2.0734761,0,1,1,1,0.399614658780506
2054,489682,IT-Cpz,41.7052,12.3761,2006-05-24 14:30:00,EBF,Temperate,24.33,676.8,61.28,1.1788,4.514,377.335,0.1241,2.9784555,0,1,1,0,0.106480972881204
2001,103580,US-Ton,38.4309,-120.966,2012-07-04 11:00:00,WSA,Temperate,29.03,974.353,29.89,2.813,2.159,391.234,0.093,1.1209497,0,1,1,0,0.0690186201673796
943,763273,BR-Sa3,-3.018,-54.9714,2003-06-24 14:00:00,EBF,Tropical,28.51,554.74,59.056,1.601,2.57,400.74,0.38,5.7720747,0,1,1,0,0.588439144343726
822,820780,AU-Tum,-35.6566,148.1517,2009-11-24 11:00:00,EBF,Temperate,13.82,442.0,81.0,0.3003,2.45,338.8,0.17,3.9134176,0,1,1,1,0.699257548536802
4527,773611,BE-Vie,50.3049,5.9981,2008-07-02 12:00:00,MF,Temperate,27.76,871.0,45.886,2.0176,0.883,366.371,0.362,4.0779181,0,1,1,1,0.181169952095149
909,22025,US-Wkg,31.7365,-109.9419,2013-09-06 12:30:00,GRA,Arid,28.37,969.0,26.683,2.832,4.131,381.38,0.1,0.46231303,0,1,1,1,0.030856571455414
2516,264245,US-Goo,34.2547,-89.8735,2006-04-17 13:30:00,GRA,Temperate,30.0,821.0,62.4,1.603,2.27,-9999.0,0.4,2.6226006,0,1,1,0,0.202040825017618
181,85199,US-Ton,38.4309,-120.966,2006-11-30 14:30:00,WSA,Temperate,13.02,284.692,32.21,1.017,1.622,390.424,0.11,0.48533082,0,1,1,0,0.0516737526932222
164,76552,US-Ton,38.4309,-120.966,2004-03-08 14:30:00,WSA,Temperate,22.9,579.92,50.11,1.393,1.737,389.336,0.374,1.1413076,0,1,1,1,0.133313862827255
